Tipo de item,Chave da item,ID da item,Resumo,Pai,Chave pai,Parent summary,Status,Campo personalizado (Start date),Resolvido,Responsável,ID do responsável,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Campo personalizado (Data final)
Problema,FRONT-279,100165,[SMB] 462274 - Grupo Emar| Plugin não exibe na loja - E-mail marketing,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,07/abr/26 12:00 AM,07/abr/26 3:41 PM,Anderson Silva,624c8d33ed4d6b007016e305,Sprint 37,,,,,,,,07/abr/26 3:41 PM
Solicitação de serviço,FRONT-237,98537,[smb] 791419 - Cancelamento de plano de e-mail marketing,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,19/mar/26 12:00 AM,08/abr/26 10:03 AM,Danila Lucena,62a72fb5bf7afc006f3a9075,Sprint 36,Sprint 37,Sprint 38,,,,,,08/abr/26 10:03 AM
Subtarefa,FRONT-345,100867,Desabilitar h-indica por lista de spam,92602,FRONT-9,Problemas de entregabilidade,Concluído,,08/abr/26 4:55 PM,Gustavo Bium Donadon,712020:783b53ab-197a-4286-9246-158f752f3aa2,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,Sprint 39,,,08/abr/26 4:56 PM
Subtarefa,FRONT-94,96442,[MELHORIA] Ordenação padrão ser data de início decrescente igual as outras telas,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-104,96462,[QA] Troca entre regras manteve o valor e não foi limpo,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-107,96468,[MELHORIA] Input de plano de fundo possui opção diferente no protótipo,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-112,96478,[MELHORIA] Ao editar o template na tela de resumo perdi todos os dados no próximo step,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-113,96480,[QA] Espaçamento do modal excluir ficou diferente,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-114,96482,[QA] Ordem das opções de ações estão diferentes do protótipo,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Subtarefa,FRONT-115,96484,[QA] Ordenação no header da tabela não está funcionando,88047,FRONT-7,9.[Nice] FRONT - APENAS TELAS: On Site na nova plataforma,Concluído,,09/abr/26 10:08 AM,Renato Novaes,60a4007747ba02006f2460fd,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,09/abr/26 10:08 AM
Problema,FRONT-349,100983,[smb] 11111- teste | teste,,,,Concluído,09/abr/26 12:00 AM,09/abr/26 2:29 PM,,,Sprint 38,,,,,,,,09/abr/26 2:29 PM
Problema,FRONT-232,98398,[SMB] 1435580 - Woofbox| Erro ao importar contatos [E-mail marketing],97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,18/mar/26 12:00 AM,26/mar/26 8:30 AM,Anderson Silva,624c8d33ed4d6b007016e305,Sprint 36,Sprint 37,Sprint 38,,,,,,10/abr/26 9:56 AM
Problema,FRONT-245,98852,[SMB] 1486296 - Inn-Forma Modeladores| Link e-mail marketing não funcionando,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,09/abr/26 12:00 AM,10/abr/26 10:02 AM,Danila Lucena,62a72fb5bf7afc006f3a9075,Sprint 36,Sprint 37,Sprint 38,,,,,,10/abr/26 10:02 AM
Problema,FRONT-355,101033,[SMB] Bagy 169902| INVENCI -Problema nos disparos das campanhas,97179,FRONT-124,Sys-Ops | SMB CARDS OPERACIONAIS,Concluído,09/abr/26 12:00 AM,10/abr/26 10:21 AM,Anderson Silva,624c8d33ed4d6b007016e305,Sprint 38,,,,,,,,10/abr/26 10:21 AM
História,FRONT-5,95101,8.[Nice] FRONT - INTEGRAÇÃO: On Site na nova plataforma,101385,FRONT-364,2.0 On Site,Concluído,,10/abr/26 2:28 PM,isabela.beatriz,712020:7fecd2d1-ffb2-4d42-b4b1-5af8e5f4ee5f,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 2:28 PM
Subtarefa,FRONT-116,96807,[QA] Configurações do domínio cobrindo sidebar em alguma resoluções,87393,FRONT-8,FRONT: Trazer LP para dentro da nova plataforma,Concluído,,10/abr/26 2:51 PM,Bruno Cruz Silva,712020:42adaa16-4a23-47db-bae7-528b19b7f35a,Sprint 32,Sprint 33,Sprint 34,Sprint 35,Sprint 36,Sprint 37,Sprint 38,,10/abr/26 2:51 PM
